id,title,artist,favorite,latitude,longitude,date
80986357,Stay In The Dark,The Band Perry,false,0.0,0.0,07/18/2019 04:24:42
80091237,Might Not Like Me,Brynn Elliott,false,0.0,0.0,07/18/2019 04:09:46
79486692,Crush On You,The Jets,false,0.0,0.0,07/18/2019 03:59:42
79299823,When I Was a Boy,Jeff Lynne,false,0.0,0.0,07/18/2019 03:56:35
79078606,Love You Like A Love Song,Selena Gomez & The Scene,false,0.0,0.0,07/18/2019 03:52:54
78795262,Capital Letters,Hailee Steinfeld,false,0.0,0.0,07/18/2019 03:48:11
77759732,If This Is It,Huey Lewis & The News,false,0.0,0.0,07/18/2019 03:30:55
77579495,Shotgun,George Ezra,false,0.0,0.0,07/18/2019 03:27:55
77294484,Best Fake Smile,James Bay,false,0.0,0.0,07/18/2019 03:23:10
77019624,I'm Gonna Getcha Good! (Red Single Edit),Shania Twain,false,0.0,0.0,07/18/2019 03:18:35
76757952,Into You,Ariana Grande,false,0.0,0.0,07/18/2019 03:14:13
76557549,Morning Train,Sheena Easton,false,0.0,0.0,07/18/2019 03:10:53
76047890,September Song,JP Cooper,false,0.0,0.0,07/18/2019 03:02:23
75809186,Running,No Doubt,false,0.0,0.0,07/18/2019 02:58:24
75526088,White Flag,Dido,false,0.0,0.0,07/18/2019 02:53:41
75289445,Over My Head,Echosmith,false,0.0,0.0,07/18/2019 02:49:45
74821578,"Never Seen Anything ""Quite Like You""",The Script,false,0.0,0.0,07/18/2019 02:41:57
74088685,Light On,Maggie Rogers,false,0.0,0.0,07/18/2019 02:29:44
73814477,Hold Me Up,Conrad Sewell,false,0.0,0.0,07/18/2019 02:25:10
73564926,Let’s Go,Matt and Kim,false,0.0,0.0,07/18/2019 02:21:00
73257536,Persephone,Yumi Zouma,false,0.0,0.0,07/18/2019 02:15:53
73101548,Good Grief,Bastille,false,0.0,0.0,07/18/2019 02:13:17
72828060,Rock with You (Single Version),Michael Jackson,false,0.0,0.0,07/18/2019 02:08:43
72598480,Inner Demons,Julia Brennan,false,0.0,0.0,07/18/2019 02:04:54
72288819,From the Bottom of My Broken Heart,Britney Spears,false,0.0,0.0,07/18/2019 01:59:44
72006747,Over It,Katharine McPhee,false,0.0,0.0,07/18/2019 01:55:02
71564097,Broken & Beautiful,Kelly Clarkson,false,0.0,0.0,07/18/2019 01:47:39
70785445,Heart Break,Lady Antebellum,false,0.0,0.0,07/18/2019 01:34:41
70562148,Change The World,Eric Clapton,false,0.0,0.0,07/18/2019 01:30:57
70311956,Think Before I Talk,Astrid S,false,0.0,0.0,07/18/2019 01:26:47
69897654,Bailamos (Wild Wild West/Soundtrack Version),Enrique Iglesias,false,0.0,0.0,07/18/2019 01:19:53
69807568,Poison,Bell Biv DeVoe,false,0.0,0.0,07/18/2019 01:18:23
69562472,Love Like Ours (feat. Tarrus Riley),Estelle,false,0.0,0.0,07/18/2019 01:14:18
69294955,Rather Be (feat. Jess Glynne),Clean Bandit,false,0.0,0.0,07/18/2019 01:09:50
69114502,Back To You,Selena Gomez,false,0.0,0.0,07/18/2019 01:06:50
68798193,Smooth,Santana,false,0.0,0.0,07/18/2019 01:01:33
68602399,Sing to You,John Splithoff,false,0.0,0.0,07/18/2019 00:58:18
68512252,Mojave,Praana,false,0.0,0.0,07/18/2019 00:56:47
68089796,Human,Rag'n'Bone Man,false,0.0,0.0,07/18/2019 00:49:45
67898644,Call Me Sir,Train,false,0.0,0.0,07/18/2019 00:46:34
67624863,I'm Still Standing,Elton John,false,0.0,0.0,07/18/2019 00:42:00
67386707,This Town,Niall Horan,false,0.0,0.0,07/18/2019 00:38:02
67222773,Manic Monday,Bangles,false,0.0,0.0,07/18/2019 00:35:18
66813488,Eastside,benny blanco,false,0.0,0.0,07/18/2019 00:28:29
66596086,Last Request,Paolo Nutini,false,0.0,0.0,07/18/2019 00:24:51
66308285,Want to Want Me,Jason Derulo,false,0.0,0.0,07/18/2019 00:20:04
66068298,Still Into You,Paramore,false,0.0,0.0,07/18/2019 00:16:04
65651923,Never Tear Us Apart,INXS,false,0.0,0.0,07/18/2019 00:09:07
65412699,End Up With You,Carrie Underwood,false,0.0,0.0,07/18/2019 00:05:08
65044041,Rapture (2002 -Remaster),Blondie,false,0.0,0.0,07/17/2019 23:58:59
64640996,Baby Baby,Amy Grant,false,0.0,0.0,07/17/2019 23:52:16
64426824,Stranger Things,Kygo,false,0.0,0.0,07/17/2019 23:48:42
63913948,Dear Future Husband,Meghan Trainor,false,0.0,0.0,07/17/2019 23:40:09
63777410,Should’ve Been Us,Tori Kelly,false,0.0,0.0,07/17/2019 23:37:53
63495649,Walk Of Life,Dire Straits,false,0.0,0.0,07/17/2019 23:33:11
